complaint_text,category
The representative was eating while talking to me on the phone,Customer Support Experience
I was told I'd get a credit for the inconvenience but nothing appeared,Customer Support Experience
The support portal is down and I can't even submit a ticket,Customer Support Experience
The agent gave me incorrect information that made the problem worse,Customer Support Experience
I've sent three emails and haven't received a single acknowledgment,Customer Support Experience
The supervisor I was transferred to was even less helpful than the agent,Customer Support Experience
The 'Add to Cart' button does nothing when I click it,Website/App Usability
The mobile app crashes every time I try to view my order history,Website/App Usability
The search bar doesn't recognize basic keywords for products,Website/App Usability
The checkout page is not secure and my browser is giving warnings,Website/App Usability
I can't find the logout button anywhere on the new interface,Website/App Usability
The images on the product page are blurry and low resolution,Website/App Usability
The site is not responsive and I have to scroll horizontally on my phone,Website/App Usability
The password reset link takes me to a 404 error page,Website/App Usability
The filters for 'Price: Low to High' are not working correctly,Website/App Usability
The CAPTCHA is impossible to solve and keeps refreshing,Website/App Usability
The font color is too light against the background and hard to read,Website/App Usability
The navigation menu overlaps with the content on smaller screens,Website/App Usability
I keep getting 'Session Expired' messages while I'm actively browsing,Website/App Usability
The auto-fill for my address is putting the wrong city in,Website/App Usability
The video tutorials on the site won't play on any browser,Website/App Usability
The 'Contact Us' form returns an error every time I hit submit,Website/App Usability
The site layout changed and now it's much harder to find anything,Website/App Usability
The loading spinner just spins forever and the page never loads,Website/App Usability
The app uses an insane amount of battery and makes my phone hot,Website/App Usability
The 'Back' button on the browser breaks the checkout flow,Website/App Usability
I found my account details leaked on a public forum,Privacy & Security
The app is requesting access to my contacts and I don't know why,Privacy & Security
I received a password reset email that I didn't request,Privacy & Security
My personal phone number was shared with a third-party marketer,Privacy & Security
I can't find the option to disable data sharing in the settings,Privacy & Security
The site doesn't use HTTPS on the login page,Privacy & Security
I was logged into someone else's account by mistake,Privacy & Security
The privacy settings keep reverting to 'Public' after I change them,Privacy & Security
I'm getting targeted ads for things I only talked about near my phone,Privacy & Security
The company had a data breach and didn't notify me for months,Privacy & Security
I want to download a copy of all my data but the link is broken,Privacy & Security
The 'Remember Me' feature stays active even after I log out,Privacy & Security
I'm being forced to provide my Social Security number for a simple purchase,Privacy & Security
The app tracks my location even when I'm not using it,Privacy & Security
I received a phishing email that looked exactly like your official ones,Privacy & Security
My purchase history is being shown to other users in my 'network',Privacy & Security
The two-factor authentication is mandatory and I don't have a cell phone,Privacy & Security
I can't delete my credit card info without adding a new one first,Privacy & Security
The terms of service were updated without any summary of changes,Privacy & Security
I suspect my webcam was active while using the support chat,Privacy & Security
Issue: I paid recently but my account still shows a balance.,Billing Issue
Stop charging my credit card for the cable! Please help.,Billing Issue
The order is completely bricked since on Monday. Please help.,Technical Issue
"To whom it may concern, my item won't turn on since last night.",Technical Issue
Issue: I was hung up on just now when explaining my issue.,Customer Support Experience
"Hi, i love the new design, it's very flawless.",Feedback
I'm writing because i haven't received my app yet.,Shipping & Delivery
"Hi, nobody is answering the customer service line.",Customer Support Experience
"To whom it may concern, the product does not match the description.",Product Quality
"Hi, five stars for the brilliant support team!",Feedback
Ticket 92658: My premium status is gone after the update.,Account Issue
"To whom it may concern, thank you for the outstanding service a few hours ago.",Feedback
Ticket 28628: The downtime is lasting much longer than promised.,Service Delay
Ticket 64861: Can you explain the prorated charge from this morning?,Billing Issue
I'm writing because i tried to merge accounts two days ago and now neither works.,Account Issue
Hello. I get lost every time I use your device.,Website/App Usability
I'm writing because the checkout process is too complicated.,Website/App Usability
Ticket 37345: The support team couldn't resolve my issue.,Customer Support Experience
"To whom it may concern, please correct the billing amount from last week.",Billing Issue
Issue: My item was supposed to arrive last week.,Shipping & Delivery
The app freezes when I try to checkout. Order #93931.,Website/App Usability
Ticket 6732: The agent promised to call back but didn't.,Customer Support Experience
I get lost every time I use your machine. This is urgent.,Website/App Usability
Ticket 65853: Missing items in my delivery.,Shipping & Delivery
I'm writing because i have to click 10 times just to find my account settings.,Website/App Usability
Ticket 40019: I can't link my new service to my account.,Account Issue
The product does not match the description. This is urgent.,Product Quality
I need a refund for the extra fees charged on Wednesday.,Billing Issue
Hello. The material of the order feels cheap.,Product Quality
Hello. My website was routed to the wrong state on Monday.,Shipping & Delivery
Hello. I am locked out of my account.,Account Issue
Issue: I am getting an error 404 on your main page.,Technical Issue
"To whom it may concern, you promised 24hr turnaround but it's been a week.",Service Delay
Issue: I have to click 10 times just to find my account settings.,Website/App Usability
A hidden fee of $20 was added last night. Please help.,Billing Issue
I'm writing because i received a phishing email from your domain.,Privacy & Security
"To whom it may concern, status says delivered but i have nothing on my porch.",Shipping & Delivery
I haven't received my app yet. Please help.,Shipping & Delivery
